Acceleration,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,FK Accuracy,Finishing,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,Interceptions,Jumping,Long Passing,Long Shots,Marking,Penalties,Positioning,Reactions,Short Passing,Shot Power,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys
82.0,72.0,76.0,77.0,73.0,64.0,73.0,32.0,67.0,29.0,27.0,10.0,13.0,9.0,8.0,14.0,54.0,61.0,68.0,65.0,28.0,70.0,40.0,59.0,64.0,68.0,57.0,68.0,76.0,75.0,72.0,67.0,59.0,41.0
78.0,65.0,79.0,78.0,75.0,73.0,75.0,67.0,74.0,50.0,46.0,12.0,12.0,13.0,8.0,12.0,67.0,73.0,75.0,65.0,46.0,71.0,41.0,70.0,74.0,73.0,66.0,71.0,77.0,71.0,71.0,64.0,68.0,53.0
92.0,76.0,91.0,88.0,65.0,64.0,63.0,48.0,69.0,39.0,40.0,13.0,12.0,12.0,6.0,12.0,35.0,64.0,84.0,50.0,34.0,65.0,43.0,57.0,64.0,67.0,43.0,65.0,90.0,66.0,68.0,62.0,54.0,33.0
78.0,69.0,83.0,81.0,78.0,82.0,82.0,83.0,77.0,52.0,51.0,16.0,15.0,15.0,7.0,7.0,69.0,77.0,71.0,71.0,53.0,70.0,61.0,72.0,80.0,78.0,55.0,81.0,80.0,89.0,77.0,68.0,75.0,47.0
88.0,73.0,88.0,89.0,76.0,73.0,79.0,68.0,79.0,66.0,27.0,13.0,5.0,9.0,8.0,14.0,60.0,77.0,92.0,72.0,73.0,71.0,60.0,59.0,78.0,76.0,69.0,76.0,83.0,91.0,76.0,54.0,64.0,53.0
79.0,63.0,68.0,89.0,65.0,60.0,65.0,55.0,62.0,36.0,42.0,9.0,6.0,12.0,9.0,11.0,44.0,62.0,60.0,49.0,45.0,60.0,39.0,49.0,62.0,57.0,47.0,59.0,79.0,66.0,58.0,34.0,54.0,39.0
76.0,48.0,74.0,74.0,68.0,76.0,63.0,56.0,69.0,40.0,50.0,14.0,7.0,5.0,5.0,13.0,52.0,68.0,72.0,61.0,44.0,72.0,38.0,67.0,62.0,65.0,60.0,67.0,82.0,86.0,71.0,62.0,54.0,39.0
79.0,72.0,80.0,84.0,69.0,66.0,78.0,80.0,66.0,78.0,56.0,15.0,12.0,12.0,13.0,7.0,58.0,64.0,67.0,57.0,70.0,65.0,42.0,59.0,63.0,67.0,77.0,69.0,77.0,82.0,65.0,59.0,49.0,56.0
73.0,82.0,67.0,63.0,68.0,67.0,80.0,75.0,72.0,68.0,38.0,9.0,15.0,9.0,8.0,14.0,57.0,72.0,53.0,59.0,49.0,69.0,44.0,62.0,71.0,69.0,70.0,74.0,86.0,85.0,75.0,76.0,54.0,39.0
89.0,71.0,70.0,69.0,69.0,62.0,71.0,30.0,74.0,31.0,36.0,16.0,11.0,13.0,10.0,9.0,66.0,70.0,59.0,61.0,31.0,71.0,56.0,58.0,73.0,68.0,30.0,76.0,85.0,79.0,70.0,66.0,56.0,35.0
77.0,67.0,76.0,72.0,75.0,73.0,79.0,75.0,73.0,70.0,55.0,10.0,12.0,10.0,15.0,8.0,56.0,72.0,69.0,75.0,59.0,71.0,62.0,65.0,72.0,74.0,69.0,76.0,79.0,89.0,75.0,65.0,73.0,54.0
83.0,56.0,77.0,78.0,76.0,74.0,80.0,82.0,75.0,59.0,62.0,15.0,13.0,7.0,10.0,15.0,49.0,74.0,66.0,66.0,61.0,71.0,62.0,72.0,75.0,76.0,65.0,73.0,84.0,82.0,72.0,64.0,68.0,52.0
77.0,75.0,77.0,76.0,82.0,81.0,81.0,84.0,81.0,69.0,59.0,13.0,15.0,10.0,15.0,14.0,63.0,78.0,75.0,77.0,87.0,78.0,59.0,77.0,79.0,79.0,87.0,78.0,73.0,74.0,79.0,67.0,69.0,53.0
87.0,85.0,81.0,85.0,76.0,65.0,74.0,66.0,75.0,57.0,55.0,10.0,16.0,7.0,15.0,14.0,50.0,74.0,85.0,71.0,69.0,77.0,36.0,71.0,77.0,76.0,85.0,72.0,87.0,81.0,73.0,74.0,71.0,76.0
71.0,62.0,74.0,81.0,59.0,53.0,53.0,51.0,58.0,43.0,31.0,8.0,8.0,13.0,12.0,7.0,54.0,53.0,61.0,58.0,36.0,53.0,46.0,54.0,55.0,60.0,54.0,56.0,65.0,66.0,54.0,58.0,52.0,38.0
69.0,47.0,68.0,69.0,65.0,45.0,67.0,59.0,62.0,58.0,39.0,13.0,8.0,7.0,14.0,8.0,38.0,53.0,62.0,52.0,35.0,56.0,38.0,46.0,59.0,62.0,52.0,59.0,67.0,66.0,58.0,53.0,41.0,37.0
82.0,69.0,72.0,79.0,70.0,53.0,70.0,47.0,71.0,35.0,32.0,7.0,14.0,15.0,10.0,9.0,48.0,69.0,76.0,60.0,56.0,60.0,47.0,48.0,65.0,71.0,34.0,71.0,81.0,83.0,71.0,72.0,59.0,29.0
87.0,63.0,86.0,90.0,67.0,60.0,65.0,55.0,69.0,37.0,43.0,8.0,8.0,7.0,9.0,11.0,48.0,63.0,91.0,62.0,34.0,66.0,41.0,62.0,60.0,65.0,52.0,60.0,85.0,81.0,65.0,57.0,60.0,46.0
86.0,69.0,88.0,76.0,72.0,70.0,69.0,69.0,74.0,64.0,54.0,13.0,11.0,9.0,8.0,8.0,42.0,65.0,70.0,64.0,62.0,68.0,59.0,68.0,76.0,67.0,68.0,70.0,86.0,85.0,72.0,65.0,68.0,45.0
79.0,89.0,78.0,89.0,74.0,64.0,76.0,72.0,73.0,71.0,53.0,10.0,6.0,6.0,11.0,11.0,70.0,70.0,81.0,63.0,67.0,69.0,40.0,60.0,71.0,74.0,85.0,70.0,83.0,84.0,72.0,55.0,72.0,54.0
83.0,68.0,84.0,85.0,71.0,72.0,73.0,48.0,72.0,41.0,32.0,7.0,11.0,11.0,16.0,12.0,52.0,64.0,83.0,58.0,39.0,66.0,47.0,52.0,68.0,70.0,53.0,70.0,79.0,85.0,67.0,60.0,48.0,41.0
84.0,70.0,84.0,82.0,73.0,67.0,71.0,70.0,73.0,62.0,53.0,13.0,12.0,6.0,7.0,13.0,48.0,66.0,79.0,58.0,52.0,65.0,59.0,62.0,67.0,70.0,64.0,66.0,78.0,77.0,68.0,51.0,63.0,58.0
68.0,72.0,69.0,71.0,74.0,68.0,76.0,62.0,70.0,55.0,48.0,10.0,8.0,14.0,13.0,10.0,60.0,76.0,69.0,66.0,60.0,76.0,61.0,66.0,70.0,70.0,68.0,74.0,68.0,73.0,76.0,75.0,58.0,50.0
64.0,75.0,65.0,62.0,73.0,73.0,79.0,61.0,72.0,70.0,50.0,12.0,14.0,7.0,6.0,10.0,68.0,71.0,72.0,71.0,64.0,73.0,70.0,64.0,75.0,74.0,75.0,76.0,73.0,77.0,77.0,75.0,60.0,47.0
77.0,73.0,73.0,69.0,78.0,76.0,80.0,74.0,77.0,66.0,50.0,11.0,13.0,15.0,10.0,15.0,68.0,76.0,70.0,70.0,54.0,73.0,52.0,63.0,76.0,76.0,59.0,80.0,76.0,73.0,81.0,70.0,51.0,43.0
71.0,69.0,58.0,85.0,66.0,62.0,64.0,36.0,68.0,27.0,25.0,7.0,10.0,9.0,7.0,9.0,53.0,65.0,67.0,59.0,30.0,65.0,37.0,57.0,63.0,65.0,36.0,66.0,73.0,66.0,68.0,58.0,58.0,25.0
85.0,70.0,77.0,75.0,76.0,77.0,72.0,73.0,78.0,32.0,43.0,8.0,5.0,5.0,11.0,8.0,60.0,72.0,69.0,64.0,46.0,67.0,41.0,70.0,74.0,71.0,57.0,69.0,79.0,90.0,75.0,66.0,68.0,58.0
74.0,67.0,68.0,81.0,75.0,70.0,77.0,72.0,75.0,68.0,45.0,6.0,9.0,6.0,7.0,10.0,64.0,70.0,81.0,72.0,69.0,70.0,53.0,63.0,69.0,75.0,78.0,74.0,74.0,74.0,75.0,70.0,49.0,49.0
74.0,75.0,71.0,66.0,70.0,61.0,70.0,71.0,75.0,60.0,33.0,12.0,5.0,6.0,7.0,14.0,44.0,70.0,73.0,44.0,34.0,72.0,38.0,41.0,65.0,69.0,44.0,74.0,76.0,85.0,73.0,62.0,55.0,37.0
66.0,59.0,67.0,74.0,61.0,57.0,59.0,47.0,62.0,49.0,27.0,13.0,13.0,9.0,12.0,11.0,41.0,59.0,58.0,46.0,52.0,57.0,40.0,39.0,53.0,57.0,48.0,60.0,68.0,67.0,61.0,58.0,41.0,28.0
78.0,67.0,79.0,83.0,75.0,68.0,63.0,69.0,80.0,52.0,63.0,15.0,10.0,9.0,7.0,14.0,58.0,80.0,71.0,72.0,69.0,68.0,59.0,74.0,76.0,75.0,69.0,75.0,81.0,80.0,80.0,71.0,69.0,48.0
78.0,70.0,68.0,66.0,75.0,60.0,78.0,70.0,77.0,58.0,62.0,7.0,16.0,15.0,16.0,10.0,66.0,68.0,91.0,70.0,66.0,74.0,50.0,74.0,72.0,73.0,72.0,70.0,79.0,79.0,72.0,75.0,64.0,60.0
78.0,68.0,70.0,71.0,71.0,65.0,74.0,72.0,72.0,70.0,53.0,11.0,13.0,16.0,14.0,6.0,59.0,69.0,64.0,65.0,70.0,68.0,34.0,71.0,74.0,71.0,79.0,73.0,75.0,75.0,72.0,64.0,65.0,60.0
87.0,87.0,78.0,77.0,78.0,72.0,78.0,66.0,79.0,75.0,37.0,8.0,12.0,6.0,14.0,14.0,53.0,75.0,68.0,65.0,59.0,72.0,67.0,69.0,75.0,77.0,60.0,80.0,79.0,77.0,75.0,64.0,69.0,29.0
78.0,75.0,65.0,66.0,63.0,58.0,69.0,54.0,62.0,64.0,40.0,9.0,10.0,12.0,13.0,16.0,53.0,67.0,69.0,59.0,49.0,66.0,47.0,56.0,62.0,65.0,68.0,68.0,78.0,77.0,64.0,75.0,57.0,32.0
67.0,68.0,72.0,66.0,73.0,74.0,75.0,79.0,72.0,73.0,40.0,7.0,10.0,16.0,16.0,6.0,68.0,74.0,71.0,72.0,66.0,73.0,64.0,67.0,71.0,77.0,74.0,72.0,77.0,74.0,71.0,76.0,70.0,65.0
75.0,72.0,73.0,69.0,78.0,75.0,79.0,77.0,75.0,60.0,58.0,9.0,12.0,10.0,13.0,11.0,64.0,76.0,68.0,74.0,66.0,72.0,65.0,73.0,78.0,78.0,76.0,74.0,76.0,76.0,78.0,67.0,73.0,50.0
80.0,59.0,71.0,59.0,48.0,41.0,56.0,54.0,62.0,55.0,28.0,6.0,7.0,13.0,14.0,14.0,50.0,51.0,59.0,40.0,54.0,50.0,39.0,50.0,55.0,48.0,38.0,54.0,76.0,65.0,55.0,56.0,38.0,30.0
87.0,64.0,80.0,71.0,63.0,52.0,69.0,55.0,66.0,59.0,51.0,11.0,9.0,13.0,10.0,14.0,44.0,70.0,63.0,66.0,56.0,66.0,59.0,45.0,72.0,72.0,52.0,72.0,84.0,70.0,73.0,57.0,40.0,40.0
66.0,56.0,64.0,59.0,62.0,51.0,64.0,43.0,60.0,40.0,37.0,10.0,8.0,12.0,6.0,12.0,54.0,53.0,57.0,62.0,44.0,52.0,49.0,63.0,60.0,63.0,46.0,62.0,64.0,66.0,64.0,58.0,43.0,38.0
86.0,56.0,84.0,86.0,57.0,48.0,51.0,37.0,54.0,29.0,34.0,14.0,9.0,12.0,13.0,6.0,54.0,53.0,81.0,49.0,31.0,54.0,32.0,56.0,54.0,55.0,38.0,50.0,85.0,62.0,53.0,62.0,47.0,32.0
65.0,51.0,54.0,64.0,43.0,38.0,49.0,31.0,55.0,28.0,35.0,6.0,12.0,15.0,12.0,9.0,49.0,51.0,62.0,35.0,29.0,55.0,39.0,53.0,51.0,39.0,30.0,60.0,65.0,63.0,63.0,57.0,33.0,26.0
79.0,55.0,75.0,74.0,67.0,54.0,66.0,57.0,69.0,47.0,50.0,8.0,7.0,14.0,11.0,11.0,55.0,59.0,60.0,51.0,52.0,57.0,57.0,58.0,57.0,65.0,64.0,61.0,81.0,76.0,63.0,62.0,48.0,53.0
75.0,69.0,66.0,63.0,68.0,62.0,70.0,45.0,65.0,25.0,60.0,11.0,7.0,12.0,5.0,7.0,36.0,60.0,58.0,57.0,56.0,62.0,32.0,66.0,55.0,64.0,65.0,64.0,76.0,70.0,66.0,66.0,46.0,24.0
67.0,67.0,66.0,60.0,64.0,50.0,65.0,28.0,60.0,33.0,47.0,11.0,9.0,12.0,6.0,6.0,45.0,59.0,61.0,57.0,40.0,60.0,43.0,55.0,64.0,62.0,60.0,51.0,67.0,69.0,54.0,67.0,48.0,40.0
75.0,46.0,79.0,72.0,63.0,51.0,69.0,64.0,65.0,67.0,51.0,11.0,8.0,5.0,15.0,9.0,39.0,55.0,62.0,63.0,36.0,57.0,34.0,63.0,64.0,69.0,61.0,66.0,77.0,72.0,63.0,60.0,45.0,41.0
84.0,59.0,67.0,84.0,65.0,55.0,64.0,58.0,68.0,35.0,32.0,10.0,13.0,11.0,12.0,14.0,55.0,56.0,67.0,49.0,38.0,58.0,39.0,55.0,58.0,67.0,43.0,56.0,86.0,75.0,58.0,59.0,51.0,37.0
83.0,55.0,75.0,73.0,56.0,49.0,61.0,57.0,55.0,38.0,22.0,7.0,6.0,13.0,8.0,9.0,41.0,54.0,70.0,41.0,29.0,58.0,37.0,51.0,54.0,56.0,20.0,56.0,83.0,85.0,61.0,57.0,43.0,20.0
69.0,75.0,64.0,67.0,69.0,63.0,73.0,55.0,65.0,38.0,31.0,8.0,14.0,11.0,15.0,9.0,57.0,79.0,58.0,57.0,35.0,68.0,41.0,54.0,72.0,68.0,51.0,69.0,72.0,79.0,73.0,69.0,37.0,48.0
62.0,58.0,56.0,65.0,65.0,65.0,65.0,56.0,67.0,51.0,44.0,12.0,9.0,9.0,12.0,11.0,58.0,63.0,70.0,60.0,43.0,60.0,41.0,72.0,64.0,66.0,45.0,66.0,56.0,64.0,67.0,66.0,43.0,54.0
79.0,56.0,77.0,80.0,57.0,56.0,64.0,58.0,55.0,22.0,29.0,12.0,12.0,7.0,6.0,14.0,39.0,58.0,84.0,42.0,23.0,54.0,24.0,57.0,55.0,53.0,43.0,55.0,79.0,76.0,58.0,53.0,44.0,25.0
80.0,73.0,79.0,90.0,67.0,56.0,71.0,60.0,58.0,51.0,39.0,5.0,8.0,6.0,9.0,5.0,49.0,64.0,82.0,57.0,50.0,55.0,39.0,49.0,65.0,58.0,71.0,66.0,79.0,83.0,63.0,33.0,47.0,22.0
82.0,54.0,81.0,64.0,67.0,65.0,72.0,67.0,64.0,30.0,50.0,13.0,12.0,9.0,5.0,9.0,52.0,66.0,75.0,57.0,64.0,64.0,31.0,64.0,67.0,64.0,70.0,68.0,77.0,81.0,66.0,68.0,60.0,56.0
72.0,53.0,52.0,58.0,66.0,63.0,75.0,51.0,69.0,38.0,31.0,12.0,13.0,5.0,14.0,5.0,53.0,68.0,60.0,67.0,28.0,66.0,43.0,51.0,58.0,58.0,41.0,68.0,70.0,62.0,76.0,66.0,51.0,33.0
82.0,45.0,71.0,67.0,76.0,76.0,74.0,66.0,77.0,56.0,56.0,13.0,8.0,9.0,10.0,12.0,62.0,66.0,60.0,67.0,61.0,67.0,55.0,51.0,65.0,67.0,62.0,74.0,83.0,81.0,75.0,72.0,51.0,45.0
88.0,73.0,86.0,90.0,74.0,76.0,78.0,54.0,76.0,49.0,45.0,13.0,13.0,16.0,8.0,9.0,60.0,75.0,59.0,59.0,68.0,75.0,49.0,69.0,80.0,76.0,78.0,76.0,86.0,76.0,77.0,33.0,68.0,55.0
77.0,64.0,71.0,64.0,71.0,65.0,75.0,76.0,67.0,73.0,36.0,10.0,9.0,11.0,7.0,15.0,55.0,65.0,62.0,66.0,46.0,65.0,39.0,56.0,68.0,68.0,65.0,67.0,76.0,75.0,71.0,65.0,58.0,41.0
83.0,61.0,76.0,76.0,70.0,70.0,73.0,62.0,70.0,34.0,33.0,8.0,7.0,15.0,7.0,8.0,57.0,63.0,80.0,57.0,31.0,62.0,41.0,67.0,64.0,67.0,70.0,66.0,86.0,72.0,67.0,71.0,62.0,31.0
86.0,75.0,85.0,85.0,69.0,67.0,73.0,72.0,74.0,60.0,55.0,15.0,10.0,14.0,13.0,7.0,54.0,70.0,78.0,62.0,54.0,72.0,59.0,69.0,71.0,72.0,64.0,70.0,85.0,78.0,70.0,65.0,65.0,42.0
78.0,49.0,79.0,77.0,74.0,56.0,74.0,69.0,75.0,57.0,64.0,15.0,7.0,12.0,11.0,9.0,62.0,66.0,66.0,64.0,60.0,70.0,70.0,71.0,76.0,72.0,58.0,71.0,81.0,90.0,68.0,39.0,62.0,65.0
77.0,73.0,83.0,82.0,72.0,62.0,69.0,62.0,74.0,49.0,54.0,10.0,11.0,15.0,10.0,12.0,56.0,68.0,80.0,62.0,65.0,70.0,42.0,61.0,68.0,68.0,68.0,73.0,74.0,75.0,73.0,66.0,55.0,53.0
75.0,66.0,76.0,84.0,63.0,62.0,67.0,64.0,55.0,65.0,27.0,10.0,16.0,10.0,14.0,11.0,36.0,73.0,71.0,67.0,33.0,63.0,35.0,50.0,68.0,69.0,75.0,63.0,78.0,67.0,68.0,75.0,38.0,29.0
70.0,73.0,68.0,75.0,64.0,53.0,64.0,55.0,64.0,60.0,38.0,10.0,7.0,15.0,14.0,12.0,49.0,57.0,75.0,63.0,50.0,52.0,39.0,48.0,59.0,65.0,67.0,62.0,78.0,80.0,62.0,69.0,59.0,35.0
69.0,55.0,70.0,71.0,69.0,57.0,72.0,67.0,71.0,47.0,47.0,12.0,12.0,12.0,7.0,9.0,53.0,62.0,60.0,57.0,51.0,66.0,52.0,47.0,62.0,60.0,48.0,61.0,70.0,67.0,67.0,71.0,57.0,42.0
72.0,64.0,73.0,69.0,70.0,69.0,70.0,56.0,72.0,37.0,58.0,10.0,10.0,15.0,11.0,13.0,58.0,68.0,71.0,54.0,64.0,65.0,49.0,68.0,70.0,69.0,68.0,64.0,72.0,81.0,66.0,60.0,52.0,40.0
88.0,56.0,87.0,83.0,70.0,61.0,72.0,68.0,74.0,46.0,54.0,12.0,7.0,12.0,7.0,10.0,54.0,64.0,57.0,62.0,52.0,55.0,60.0,57.0,65.0,68.0,67.0,64.0,86.0,75.0,66.0,63.0,50.0,46.0
78.0,59.0,74.0,71.0,67.0,59.0,72.0,55.0,66.0,38.0,28.0,13.0,12.0,10.0,15.0,11.0,55.0,66.0,70.0,66.0,32.0,59.0,46.0,68.0,60.0,70.0,36.0,62.0,81.0,78.0,65.0,75.0,51.0,36.0
78.0,57.0,76.0,77.0,70.0,61.0,73.0,57.0,72.0,32.0,39.0,11.0,14.0,9.0,9.0,6.0,59.0,61.0,70.0,63.0,27.0,64.0,33.0,54.0,67.0,70.0,53.0,71.0,78.0,66.0,71.0,66.0,52.0,34.0
